DAY,Division,Batch,10:30 TO 11:30,11:30 TO 12:30,12:30 TO 1:30,1:30 TO 1:50,1:50 TO 2:50,2:50 TO 3:50,3:50 TO 4:00,4:00 TO 5:00,5:00 TO 6:00
MON,A,1,CSS-CR,OSY-PR,OSY-PR,RECESS,OSY-CR,EST-CR,RECESS,-,-
MON,A,2,CSS-CR,STE-PR,STE-PR,RECESS,OSY-CR,EST-CR,RECESS,AJP-PR,AJP-PR
MON,A,3,CSS-CR,-,-,RECESS,OSY-CR,EST-CR,RECESS,-,-
MON,B,4,AJP-T,OSY-CR,CSS-CR,RECESS,EST-CHL,CSS-CHL,RECESS,-,-
MON,B,5,-,OSY-CR,CSS-CR,RECESS,EST-CHL,CSS-CHL,RECESS,-,-
TUE,A,1,-,AJP-CHL,AJP-CHL,RECESS,-,-,RECESS,-,-
TUE,A,2,AJP-T,AJP-CHL,AJP-CHL,RECESS,OSY-PR,OSY-PR,RECESS,-,-
TUE,A,3,-,AJP-CHL,AJP-CHL,RECESS,AJP-PR,AJP-PR,RECESS,-,-
TUE,B,4,STE-CR,STE-PR,STE-PR,RECESS,OSY-CR,-,RECESS,-,-
TUE,B,5,STE-CR,CSS-PR,CSS-CR,RECESS,OSY-CR,-,RECESS,-,-
WED,A,1,CSS-CR,CSS-CR,STE-CHL,RECESS,AJP-T,OSY-CR,RECESS,STE-PR,STE-PR
WED,A,2,CSS-CR,CSS-CR,STE-CHL,RECESS,AJP-T,OSY-CR,RECESS,CSS-PR,CSS-PR
WED,A,3,CSS-CR,CSS-CR,STE-CHL,RECESS,AJP-T,OSY-CR,RECESS,-,-
WED,B,4,-,AJP-CHL,AJP-CR,RECESS,OSY-CR,STE-CHL,RECESS,OSY-PR,OSY-PR
WED,B,5,-,AJP-CHL,AJP-CR,RECESS,OSY-CR,STE-CHL,RECESS,AJP-T,AJP-T
THU,A,1,AJP-T,OSY-CR,EST-CR,RECESS,AJP-CHL,-,RECESS,CSS-PR,CSS-PR
THU,A,2,-,OSY-CR,EST-CR,RECESS,AJP-CHL,-,RECESS,-,-
THU,A,3,-,OSY-CR,EST-CR,RECESS,AJP-CHL,-,RECESS,OSY-PR,OSY-PR
THU,B,4,STE-CR,CSS-PR,CSS-PR,RECESS,EST-CR,AJP-CR,RECESS,-,-
THU,B,5,STE-CR,STE-PR,STE-PR,RECESS,EST-CR,AJP-CR,RECESS,-,-
FRI,A,1,STE-CR,AJP-PR,AJP-PR,RECESS,STE-CR,EST-CR,RECESS,-,-
FRI,A,2,STE-CR,-,-,RECESS,STE-CR,EST-CR,RECESS,-,-
FRI,A,3,STE-CR,STE-PR,STE-PR,RECESS,STE-CR,EST-CR,RECESS,CSS-AJPL,CSS-AJPL
FRI,B,4,-,CSS-CR,EST-CR,RECESS,-,-,RECESS,-,-
FRI,B,5,-,CSS-CR,EST-CR,RECESS,AJP-PR,AJP-PR,RECESS,OSY-PR,OSY-PR
SAT,A,1,CPP-PR,CPP-PR,-,RECESS,CPP-PR,CPP-PR,RECESS,-,-
SAT,A,2,CPP-PR,CPP-PR,-,RECESS,CPP-PR,CPP-PR,RECESS,-,-
SAT,A,3,CPP-PR,CPP-PR,-,RECESS,CPP-PR,CPP-PR,RECESS,-,-
SAT,B,4,CPP-PR,CPP-PR,-,RECESS,CPP-PR,CPP-PR,RECESS,-,-
SAT,B,5,CPP-PR,CPP-PR,-,RECESS,CPP-PR,CPP-PR,RECESS,-,-